ID,TREAT,TREAT_LABEL,POSITION,TENURE,FAMILIARITY,INDUSTRY,EMP_SIZE,REVENUE,EXPORT_PCT,OWNERSHIP,SUPPLY_POS,ESG_REP,ISO14001,ENV_INSP,ENV_PEN,EPR_REP,AWR1,AWR2,AWR3,AWR4,AWR5,AWR_MEAN,EO1,EO2,EO3,EO4,EO5,EO_MEAN,CC1,CC2,CC3,CC4,CC5,CC_MEAN,RC1,RC2,RC3,RC4,RC5,RC_MEAN,RP1,RP2,RP3,RP4,RP_MEAN,REP1,REP2,REP3,REP4,REP_MEAN,MP1,MP2,MP3,MP4,MP_MEAN,MC1,MC2,MC3,BAE_MKT,BAE_PROD,BAE_OPS,BAE_TRAIN,BAE_EPR,CI1,CI2,CI3,CI4,CI5,CI_MEAN,PP1,PP2,PP3,PP4,PP_MEAN,T_REGULATORY,T_REPUTATIONAL,T_MARKET,CI_ZSCORED
1,3,Market,5,9,5,3,4,3,11,2,3,0,1,0,0,1,5,5,6,6,6,5.6,3,3,3,3,3,3.0,5,4,5,5,5,4.8,6,4,4,5,5,4.8,5,6,5,6,5.5,4,3,4,4,3.75,2,3,3,3,2.75,4,4,6,16.0,22.0,26.0,13.0,23.0,6,5,5,6,5,5.4,5,4,4,4,4.25,0,0,1,0.7229
2,1,Regulatory,7,6,6,4,1,3,22,1,4,0,0,0,0,1,4,4,4,4,4,4.0,4,5,4,4,2,3.8,1,2,3,2,3,2.2,3,5,4,5,5,4.4,6,6,6,7,6.25,5,6,6,6,5.75,5,5,5,6,5.25,5,4,4,19.0,20.0,28.0,9.0,24.0,4,4,4,5,4,4.2,5,5,5,5,5.0,1,0,0,-0.4875
3,2,Reputational,5,2,5,2,3,3,28,1,2,0,0,1,0,1,6,6,6,6,5,5.8,3,3,3,4,4,3.4,4,4,4,4,5,4.2,5,5,5,4,4,4.6,5,5,6,5,5.25,6,6,5,5,5.5,4,3,4,5,4.0,4,6,6,25.0,17.0,21.0,7.0,30.0,4,5,4,4,4,4.2,5,4,4,5,4.5,0,1,0,-0.4875
4,1,Regulatory,2,4,3,6,3,3,37,1,2,0,0,1,0,1,5,5,5,5,6,5.2,3,4,2,3,3,3.0,3,3,4,4,3,3.4,5,5,5,5,5,5.0,5,6,6,5,5.5,3,4,3,3,3.25,3,3,3,2,2.75,7,5,4,16.0,25.0,25.0,8.0,26.0,6,6,6,5,7,6.0,4,3,4,3,3.5,1,0,0,1.328
5,0,Control,3,15,6,6,2,2,30,1,3,0,0,0,0,0,2,3,2,3,3,2.6,4,5,4,4,4,4.2,4,3,3,3,4,3.4,6,6,6,6,6,6.0,5,5,5,5,5.0,4,4,4,4,4.0,3,3,2,3,2.75,5,6,4,30.0,31.0,22.0,6.0,11.0,5,3,4,4,4,4.0,4,3,3,3,3.25,0,0,0,-0.6892
6,0,Control,4,7,5,2,4,3,18,1,2,0,0,0,0,0,5,6,6,6,6,5.8,5,5,5,5,5,5.0,3,4,4,2,3,3.2,4,4,4,4,4,4.0,6,6,5,6,5.75,5,5,4,6,5.0,3,4,3,3,3.25,4,3,4,25.0,22.0,30.0,8.0,15.0,3,4,4,5,4,4.0,5,5,5,5,5.0,0,0,0,-0.6892
7,0,Control,3,10,4,5,3,4,9,1,1,0,1,0,1,0,5,5,4,5,5,4.8,2,4,4,2,4,3.2,5,5,5,5,5,5.0,5,5,5,6,6,5.4,4,5,4,5,4.5,4,4,4,5,4.25,5,6,4,5,5.0,3,4,4,25.0,22.0,26.0,15.0,12.0,4,4,4,5,4,4.2,5,4,5,4,4.5,0,0,0,-0.4875
8,2,Reputational,3,4,6,6,3,3,36,4,3,0,0,0,0,1,5,5,4,5,5,4.8,4,2,3,4,3,3.2,4,3,3,2,3,3.0,6,5,5,6,5,5.4,7,7,7,7,7.0,7,6,6,6,6.25,3,3,3,4,3.25,4,3,5,26.0,31.0,20.0,7.0,16.0,4,5,4,5,5,4.6,4,5,5,5,4.75,0,1,0,-0.0841
9,3,Market,7,3,6,3,5,4,10,6,2,0,1,0,0,0,6,5,6,5,5,5.4,5,5,5,5,5,5.0,4,4,2,4,4,3.6,4,5,4,5,5,4.6,6,6,6,6,6.0,4,4,4,5,4.25,3,4,4,4,3.75,3,4,4,29.0,20.0,30.0,5.0,16.0,4,4,5,4,5,4.4,4,4,5,4,4.25,0,0,1,-0.2858
10,2,Reputational,3,8,5,2,4,3,16,5,5,0,0,1,1,1,4,3,3,3,3,3.2,4,4,3,3,4,3.6,5,4,4,6,4,4.6,4,4,4,3,4,3.8,7,6,5,4,5.5,3,3,3,2,2.75,3,3,3,3,3.0,4,3,5,22.0,25.0,24.0,10.0,19.0,6,6,5,5,5,5.4,5,5,5,6,5.25,0,1,0,0.7229
